grid_id,休闲POI_密度,办公POI_密度,公共服务POI_密度,交通设施POI_密度,居住POI_密度,总POI密度
1.0,12.0,0.0,12.0,8.0,4.0,36.0
2.0,304.0,40.0,136.0,56.0,92.0,628.0
3.0,12.0,12.0,12.0,16.0,8.0,60.0
4.0,4.0,12.0,28.0,8.0,0.0,52.0
5.0,0.0,4.0,0.0,4.0,0.0,8.0
6.0,0.0,0.0,0.0,4.0,4.0,8.0
7.0,1044.0,148.0,44.0,56.0,0.0,1292.0
8.0,12.0,16.0,12.0,0.0,0.0,40.0
9.0,12.0,4.0,4.0,4.0,0.0,24.0
10.0,12.0,28.0,0.0,4.0,16.0,60.0
11.0,12.0,144.0,20.0,12.0,28.0,216.0
12.0,0.0,56.0,16.0,52.0,4.0,128.0
13.0,0.0,8.0,8.0,8.0,0.0,24.0
14.0,8.0,12.0,0.0,12.0,0.0,32.0
15.0,112.0,40.0,44.0,16.0,8.0,220.0
16.0,16.0,40.0,12.0,24.0,8.0,100.0
17.0,12.0,28.0,112.0,8.0,0.0,160.0
18.0,292.0,44.0,136.0,60.0,12.0,544.0
19.0,56.0,84.0,176.0,56.0,4.0,376.0
20.0,96.0,56.0,104.0,36.0,12.0,304.0
21.0,160.0,20.0,96.0,36.0,8.0,320.0
22.0,864.0,276.0,464.0,144.0,92.0,1840.0
23.0,136.0,36.0,112.0,24.0,0.0,308.0
24.0,4.0,28.0,4.0,8.0,0.0,44.0
25.0,0.0,20.0,20.0,4.0,0.0,44.0
26.0,4.0,60.0,24.0,40.0,12.0,140.0
27.0,8.0,76.0,36.0,48.0,4.0,172.0
28.0,0.0,8.0,0.0,8.0,0.0,16.0
29.0,0.0,0.0,0.0,16.0,0.0,16.0
31.0,20.0,0.0,8.0,0.0,0.0,28.0
32.0,24.0,20.0,4.0,4.0,0.0,52.0
33.0,4.0,4.0,0.0,0.0,0.0,8.0
34.0,0.0,4.0,0.0,8.0,0.0,12.0
35.0,0.0,8.0,0.0,8.0,4.0,20.0
36.0,0.0,24.0,24.0,36.0,4.0,88.0
37.0,68.0,40.0,36.0,36.0,8.0,188.0
38.0,0.0,0.0,0.0,20.0,4.0,24.0
39.0,12.0,112.0,12.0,56.0,8.0,200.0
40.0,20.0,52.0,36.0,44.0,8.0,160.0
41.0,1952.0,44.0,616.0,80.0,60.0,2752.0
42.0,524.0,60.0,308.0,116.0,72.0,1080.0
43.0,48.0,16.0,172.0,32.0,8.0,276.0
44.0,92.0,20.0,424.0,60.0,12.0,608.0
45.0,156.0,32.0,228.0,88.0,12.0,516.0
46.0,336.0,76.0,744.0,104.0,28.0,1288.0
47.0,356.0,28.0,416.0,136.0,40.0,976.0
48.0,244.0,20.0,136.0,60.0,12.0,472.0
49.0,52.0,20.0,196.0,40.0,12.0,320.0
50.0,96.0,32.0,84.0,20.0,16.0,248.0
51.0,20.0,32.0,20.0,8.0,0.0,80.0
52.0,60.0,84.0,80.0,64.0,20.0,308.0
53.0,48.0,40.0,24.0,36.0,12.0,160.0
54.0,12.0,16.0,28.0,44.0,4.0,104.0
55.0,0.0,0.0,8.0,8.0,0.0,16.0
56.0,0.0,8.0,8.0,4.0,0.0,20.0
57.0,0.0,0.0,0.0,4.0,0.0,4.0
59.0,0.0,0.0,0.0,4.0,0.0,4.0
61.0,0.0,4.0,0.0,4.0,0.0,8.0
62.0,4.0,0.0,8.0,4.0,0.0,16.0
63.0,12.0,0.0,28.0,20.0,4.0,64.0
64.0,20.0,36.0,4.0,24.0,24.0,108.0
65.0,0.0,4.0,20.0,32.0,12.0,68.0
66.0,0.0,4.0,12.0,48.0,8.0,72.0
67.0,0.0,4.0,0.0,24.0,12.0,40.0
68.0,4.0,4.0,16.0,8.0,8.0,40.0
69.0,32.0,8.0,48.0,52.0,12.0,152.0
70.0,100.0,128.0,88.0,52.0,36.0,404.0
71.0,480.0,100.0,288.0,100.0,52.0,1020.0
72.0,252.0,76.0,156.0,112.0,48.0,644.0
73.0,76.0,4.0,80.0,64.0,0.0,224.0
74.0,424.0,52.0,228.0,132.0,52.0,888.0
75.0,276.0,96.0,296.0,84.0,36.0,788.0
76.0,212.0,212.0,200.0,104.0,24.0,752.0
77.0,32.0,40.0,60.0,48.0,0.0,180.0
79.0,472.0,24.0,316.0,92.0,24.0,928.0
80.0,1364.0,112.0,488.0,104.0,272.0,2340.0
81.0,240.0,20.0,72.0,64.0,8.0,404.0
82.0,140.0,68.0,172.0,36.0,16.0,432.0
83.0,128.0,56.0,212.0,36.0,4.0,436.0
