休闲POI,办公POI,公共服务POI,交通设施POI,居住POI,grid_id,总POI数量
3,0,3,2,1,1.0,9
76,10,34,14,23,2.0,157
3,3,3,4,2,3.0,15
1,3,7,2,0,4.0,13
0,1,0,1,0,5.0,2
0,0,0,1,1,6.0,2
261,37,11,14,0,7.0,323
3,4,3,0,0,8.0,10
3,1,1,1,0,9.0,6
3,7,0,1,4,10.0,15
3,36,5,3,7,11.0,54
0,14,4,13,1,12.0,32
0,2,2,2,0,13.0,6
2,3,0,3,0,14.0,8
28,10,11,4,2,15.0,55
4,10,3,6,2,16.0,25
3,7,28,2,0,17.0,40
73,11,34,15,3,18.0,136
14,21,44,14,1,19.0,94
24,14,26,9,3,20.0,76
40,5,24,9,2,21.0,80
216,69,116,36,23,22.0,460
34,9,28,6,0,23.0,77
1,7,1,2,0,24.0,11
0,5,5,1,0,25.0,11
1,15,6,10,3,26.0,35
2,19,9,12,1,27.0,43
0,2,0,2,0,28.0,4
0,0,0,4,0,29.0,4
5,0,2,0,0,31.0,7
6,5,1,1,0,32.0,13
1,1,0,0,0,33.0,2
0,1,0,2,0,34.0,3
0,2,0,2,1,35.0,5
0,6,6,9,1,36.0,22
17,10,9,9,2,37.0,47
0,0,0,5,1,38.0,6
3,28,3,14,2,39.0,50
5,13,9,11,2,40.0,40
488,11,154,20,15,41.0,688
131,15,77,29,18,42.0,270
12,4,43,8,2,43.0,69
23,5,106,15,3,44.0,152
39,8,57,22,3,45.0,129
84,19,186,26,7,46.0,322
89,7,104,34,10,47.0,244
61,5,34,15,3,48.0,118
13,5,49,10,3,49.0,80
24,8,21,5,4,50.0,62
5,8,5,2,0,51.0,20
15,21,20,16,5,52.0,77
12,10,6,9,3,53.0,40
3,4,7,11,1,54.0,26
0,0,2,2,0,55.0,4
0,2,2,1,0,56.0,5
0,0,0,1,0,57.0,1
0,0,0,1,0,59.0,1
0,1,0,1,0,61.0,2
1,0,2,1,0,62.0,4
3,0,7,5,1,63.0,16
5,9,1,6,6,64.0,27
0,1,5,8,3,65.0,17
0,1,3,12,2,66.0,18
0,1,0,6,3,67.0,10
1,1,4,2,2,68.0,10
8,2,12,13,3,69.0,38
25,32,22,13,9,70.0,101
120,25,72,25,13,71.0,255
63,19,39,28,12,72.0,161
19,1,20,16,0,73.0,56
106,13,57,33,13,74.0,222
69,24,74,21,9,75.0,197
53,53,50,26,6,76.0,188
8,10,15,12,0,77.0,45
118,6,79,23,6,79.0,232
341,28,122,26,68,80.0,585
60,5,18,16,2,81.0,101
35,17,43,9,4,82.0,108
32,14,53,9,1,83.0,109
5,15,23,6,3,84.0,52
39,7,29,4,0,85.0,79
61,11,32,13,2,86.0,119
0,22,5,5,0,87.0,32
0,6,8,8,3,88.0,25
14,24,17,19,5,89.0,79
17,4,10,7,2,90.0,40
0,3,0,1,1,91.0,5
0,3,1,4,0,92.0,8
2,1,0,0,0,93.0,3
0,0,0,2,0,94.0,2
0,0,1,0,0,95.0,1
2,2,1,9,0,96.0,14
28,47,20,12,8,97.0,115
29,9,13,10,3,98.0,64
2,0,3,7,2,99.0,14
5,1,9,9,2,100.0,26
0,2,0,2,5,101.0,9
6,6,2,5,2,102.0,21
25,7,11,9,8,103.0,60
11,15,17,5,2,104.0,50
56,9,42,26,9,105.0,142
46,26,18,6,2,106.0,98
1,6,8,3,0,107.0,18
66,18,46,15,8,108.0,153
96,31,63,12,15,109.0,217
91,29,52,8,8,110.0,188
17,1,5,0,3,111.0,26
51,12,36,21,12,112.0,132
718,87,331,68,208,113.0,1412
147,38,88,34,19,114.0,326
3,2,0,5,3,115.0,13
0,9,3,0,0,116.0,12
23,25,32,9,1,117.0,90
1,6,2,1,0,118.0,10
11,7,8,0,1,119.0,27
26,23,36,12,9,120.0,106
1,11,10,4,0,121.0,26
2,21,8,4,1,122.0,36
75,24,61,6,10,123.0,176
5,12,12,6,0,124.0,35
0,1,0,2,0,125.0,3
1,2,1,6,0,126.0,10
0,1,0,0,0,127.0,1
0,0,1,0,0,128.0,1
1,1,4,0,1,129.0,7
61,3,18,19,11,130.0,112
0,2,0,2,0,131.0,4
52,41,6,21,7,132.0,127
27,90,20,24,14,133.0,175
16,22,9,13,8,134.0,68
15,5,18,16,6,135.0,60
3,1,4,11,2,136.0,21
3,1,1,6,3,137.0,14
29,4,21,8,4,138.0,66
48,54,42,24,11,139.0,179
8,1,2,3,6,140.0,20
0,7,4,2,1,141.0,14
3,6,3,7,3,142.0,22
45,1,30,8,12,143.0,96
24,10,1,11,0,144.0,46
183,20,30,12,2,145.0,247
23,16,42,21,9,146.0,111
69,17,52,12,3,147.0,153
91,20,41,9,5,148.0,166
105,9,69,19,21,149.0,223
97,13,49,15,13,150.0,187
22,1,15,10,10,151.0,58
3,3,3,4,2,152.0,15
1,1,2,1,3,153.0,8
46,21,35,7,7,154.0,116
2,15,4,4,3,155.0,28
0,1,3,0,0,156.0,4
11,17,27,9,4,157.0,68
1,9,4,1,0,159.0,15
15,21,44,7,3,160.0,90
1,2,6,0,0,161.0,9
2,4,2,0,2,162.0,10
0,2,0,0,0,163.0,2
0,1,0,1,0,164.0,2
0,1,0,2,0,165.0,3
0,0,0,6,0,166.0,6
91,8,69,36,20,167.0,224
134,10,59,32,23,168.0,258
0,1,4,3,2,169.0,10
0,1,2,3,0,170.0,6
0,0,0,2,0,171.0,2
1,1,0,3,1,172.0,6
28,2,22,8,7,173.0,67
84,9,73,25,5,174.0,196
17,8,23,16,8,175.0,72
14,2,4,6,2,176.0,28
106,8,65,23,4,177.0,206
193,31,51,25,4,178.0,304
402,54,36,17,5,179.0,514
135,40,38,18,16,180.0,247
29,19,29,17,7,181.0,101
2,1,4,2,2,182.0,11
18,7,10,2,0,183.0,37
20,7,18,10,5,184.0,60
36,0,26,15,8,185.0,85
65,3,27,11,3,186.0,109
21,4,10,9,3,187.0,47
36,4,35,19,4,188.0,98
18,13,12,9,6,189.0,58
181,15,88,27,19,190.0,330
190,9,45,31,18,191.0,293
199,23,93,28,20,192.0,363
73,10,37,12,14,193.0,146
22,6,17,13,1,194.0,59
68,14,48,16,5,195.0,151
11,22,15,19,2,196.0,69
88,8,35,20,8,197.0,159
58,17,49,19,9,198.0,152
11,2,3,0,7,200.0,23
0,3,2,0,1,202.0,6
0,3,2,7,0,203.0,12
0,1,0,3,1,204.0,5
7,33,6,24,9,205.0,79
1,5,4,10,1,206.0,21
177,16,88,20,26,207.0,327
228,38,166,39,28,208.0,499
36,6,29,32,7,209.0,110
2,1,5,5,1,210.0,14
0,2,1,4,4,211.0,11
0,1,1,4,1,212.0,7
0,0,0,1,0,213.0,1
25,3,21,13,4,214.0,66
31,3,15,14,3,215.0,66
2,3,7,7,0,216.0,19
0,2,5,5,3,217.0,15
83,10,54,13,6,218.0,166
65,10,21,13,3,219.0,112
13,11,4,15,1,220.0,44
59,13,26,15,13,221.0,126
25,1,16,10,6,222.0,58
88,7,57,39,6,223.0,197
328,64,104,29,13,224.0,538
32,4,16,9,8,225.0,69
119,25,53,9,19,226.0,225
40,37,30,19,7,227.0,133
33,18,42,22,10,228.0,125
2,7,5,2,2,229.0,18
13,6,15,10,7,230.0,51
8,4,15,8,1,231.0,36
11,11,23,9,4,232.0,58
30,10,14,14,4,233.0,72
67,25,5,3,2,234.0,102
30,10,25,16,7,235.0,88
19,20,21,26,4,236.0,90
68,16,34,18,8,237.0,144
11,5,5,2,1,238.0,24
10,6,6,7,0,239.0,29
1,5,5,0,1,240.0,12
11,4,12,9,2,241.0,38
0,2,1,0,0,242.0,3
0,2,0,1,1,243.0,4
2,2,1,2,1,244.0,8
29,18,15,21,3,246.0,86
0,39,2,21,3,247.0,65
13,46,21,23,14,248.0,117
88,70,21,73,20,249.0,272
9,40,23,44,13,250.0,129
21,31,13,36,11,251.0,112
1,3,2,5,1,252.0,12
1,2,4,6,1,253.0,14
2,2,0,6,2,254.0,12
3,1,0,3,3,255.0,10
2,0,5,1,0,256.0,8
0,0,2,3,1,257.0,6
5,4,15,12,3,258.0,39
24,5,14,11,6,259.0,60
77,13,67,23,12,260.0,192
1,2,4,5,2,261.0,14
90,8,7,7,1,262.0,113
85,9,19,11,3,263.0,127
58,6,18,3,2,264.0,87
192,24,71,22,17,265.0,326
85,13,58,30,16,266.0,202
21,14,13,10,7,267.0,65
73,24,36,23,11,268.0,167
102,16,154,33,26,269.0,331
86,65,404,8,2,270.0,565
1,0,0,0,0,272.0,1
0,1,1,0,0,273.0,2
0,0,0,1,0,274.0,1
2,4,5,1,1,276.0,13
13,6,18,17,10,277.0,64
4,4,7,4,0,278.0,19
15,22,13,8,0,279.0,58
28,16,14,3,1,280.0,62
4,11,5,6,3,281.0,29
2,2,7,6,0,282.0,17
101,14,11,12,1,283.0,139
1,1,2,0,0,284.0,4
5,1,3,3,2,285.0,14
0,6,2,7,3,286.0,18
0,14,2,1,0,287.0,17
125,12,58,20,27,288.0,242
1,2,3,6,0,289.0,12
4,24,5,15,7,290.0,55
97,127,44,37,16,291.0,321
25,19,30,30,4,292.0,108
13,45,11,23,4,293.0,96
15,7,11,18,3,294.0,54
13,1,19,8,3,295.0,44
44,5,25,29,3,296.0,106
11,2,6,11,1,297.0,31
6,3,8,14,2,298.0,33
2,3,2,3,2,299.0,12
15,3,7,6,12,300.0,43
2,2,1,2,1,301.0,8
26,8,30,27,2,302.0,93
14,1,17,10,2,303.0,44
47,9,19,30,2,304.0,107
68,10,21,18,6,305.0,123
39,5,33,23,3,306.0,103
61,7,44,16,11,307.0,139
53,1,22,16,5,308.0,97
11,6,12,12,3,309.0,44
47,50,53,43,6,310.0,199
257,14,136,36,10,311.0,453
32,15,106,22,2,312.0,177
1,0,0,0,0,315.0,1
0,0,1,0,0,316.0,1
0,5,3,0,0,317.0,8
1,17,4,5,1,318.0,28
24,6,66,3,6,319.0,105
3,13,3,2,0,320.0,21
1,4,2,2,0,321.0,9
25,5,24,9,7,322.0,70
1,1,0,0,0,323.0,2
3,3,0,5,0,325.0,11
1,1,12,0,1,326.0,15
0,7,1,10,0,327.0,18
4,18,8,6,4,328.0,40
26,56,12,19,14,329.0,127
10,37,7,18,12,330.0,84
49,5,13,13,9,331.0,89
1,5,1,7,0,332.0,14
31,61,28,59,19,333.0,198
29,53,34,41,14,334.0,171
103,7,74,32,7,335.0,223
25,6,29,17,5,336.0,82
87,17,60,36,8,337.0,208
67,5,46,16,4,338.0,138
91,0,48,25,5,339.0,169
61,8,45,25,10,340.0,149
36,3,9,15,1,341.0,64
49,5,23,14,10,342.0,101
22,9,34,17,4,343.0,86
32,11,23,11,4,344.0,81
168,22,98,37,7,345.0,332
181,14,102,19,29,346.0,345
84,13,58,20,8,347.0,183
48,19,42,21,12,348.0,142
29,7,24,12,4,349.0,76
16,8,8,15,2,350.0,49
170,18,88,51,15,351.0,342
124,24,46,35,10,352.0,239
19,55,22,19,11,353.0,126
32,5,26,15,3,354.0,81
2,9,7,10,2,355.0,30
0,0,1,0,0,357.0,1
2,2,2,0,0,360.0,6
2,6,3,3,0,361.0,14
41,13,63,10,4,362.0,131
15,13,16,9,4,363.0,57
11,11,10,6,5,364.0,43
64,14,49,6,8,365.0,141
4,15,3,4,0,366.0,26
1,1,1,2,0,367.0,5
37,15,35,12,2,368.0,101
27,8,71,11,3,369.0,120
2,13,4,6,3,370.0,28
36,7,6,19,8,371.0,76
17,20,5,4,8,372.0,54
13,7,6,0,0,373.0,26
0,1,0,4,0,374.0,5
6,8,17,15,1,375.0,47
0,8,0,7,0,376.0,15
163,198,56,117,53,377.0,587
159,35,107,44,14,378.0,359
1,0,1,1,10,379.0,13
11,2,9,12,8,380.0,42
167,24,77,32,16,381.0,316
42,13,41,18,11,382.0,125
39,50,22,29,8,383.0,148
108,46,119,54,24,384.0,351
156,50,48,65,17,385.0,336
139,21,45,64,35,386.0,304
479,29,282,69,128,387.0,987
112,10,118,43,31,388.0,314
176,25,81,37,10,389.0,329
131,11,56,43,13,390.0,254
48,9,42,29,17,391.0,145
168,28,95,24,10,392.0,325
102,45,75,47,23,393.0,292
108,31,77,30,10,394.0,256
49,36,43,20,15,395.0,163
110,20,73,25,39,396.0,267
35,25,44,15,8,397.0,127
99,22,18,29,15,398.0,183
119,8,5,3,0,399.0,135
0,2,0,1,0,401.0,3
0,1,0,0,0,402.0,1
0,0,0,1,0,403.0,1
