grid_id,休闲_count,办公_count,公共服务_count,交通设施_count,居住_count,total_count,休闲_density,办公_density,公共服务_density,交通设施_density,居住_density,total_density
1,3,0,3,2,1,9,12.0,0.0,12.0,8.0,4.0,36.0
2,76,10,34,14,23,157,304.0,40.0,136.0,56.0,92.0,628.0
3,3,3,3,4,2,15,12.0,12.0,12.0,16.0,8.0,60.0
4,1,3,7,2,0,13,4.0,12.0,28.0,8.0,0.0,52.0
5,0,1,0,1,0,2,0.0,4.0,0.0,4.0,0.0,8.0
6,0,0,0,1,1,2,0.0,0.0,0.0,4.0,4.0,8.0
7,261,37,11,14,0,323,1044.0,148.0,44.0,56.0,0.0,1292.0
8,3,4,3,0,0,10,12.0,16.0,12.0,0.0,0.0,40.0
9,3,1,1,1,0,6,12.0,4.0,4.0,4.0,0.0,24.0
10,3,7,0,1,4,15,12.0,28.0,0.0,4.0,16.0,60.0
11,3,36,5,3,7,54,12.0,144.0,20.0,12.0,28.0,216.0
12,0,14,4,13,1,32,0.0,56.0,16.0,52.0,4.0,128.0
13,0,2,2,2,0,6,0.0,8.0,8.0,8.0,0.0,24.0
14,2,3,0,3,0,8,8.0,12.0,0.0,12.0,0.0,32.0
15,28,10,11,4,2,55,112.0,40.0,44.0,16.0,8.0,220.0
16,4,10,3,6,2,25,16.0,40.0,12.0,24.0,8.0,100.0
17,3,7,28,2,0,40,12.0,28.0,112.0,8.0,0.0,160.0
18,73,11,34,15,3,136,292.0,44.0,136.0,60.0,12.0,544.0
19,14,21,44,14,1,94,56.0,84.0,176.0,56.0,4.0,376.0
20,24,14,26,9,3,76,96.0,56.0,104.0,36.0,12.0,304.0
21,40,5,24,9,2,80,160.0,20.0,96.0,36.0,8.0,320.0
22,216,69,116,36,23,460,864.0,276.0,464.0,144.0,92.0,1840.0
23,34,9,28,6,0,77,136.0,36.0,112.0,24.0,0.0,308.0
24,1,7,1,2,0,11,4.0,28.0,4.0,8.0,0.0,44.0
25,0,5,5,1,0,11,0.0,20.0,20.0,4.0,0.0,44.0
26,1,15,6,10,3,35,4.0,60.0,24.0,40.0,12.0,140.0
27,2,19,9,12,1,43,8.0,76.0,36.0,48.0,4.0,172.0
28,0,2,0,2,0,4,0.0,8.0,0.0,8.0,0.0,16.0
29,0,0,0,4,0,4,0.0,0.0,0.0,16.0,0.0,16.0
30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,5,0,2,0,0,7,20.0,0.0,8.0,0.0,0.0,28.0
32,6,5,1,1,0,13,24.0,20.0,4.0,4.0,0.0,52.0
33,1,1,0,0,0,2,4.0,4.0,0.0,0.0,0.0,8.0
34,0,1,0,2,0,3,0.0,4.0,0.0,8.0,0.0,12.0
35,0,2,0,2,1,5,0.0,8.0,0.0,8.0,4.0,20.0
36,0,6,6,9,1,22,0.0,24.0,24.0,36.0,4.0,88.0
37,17,10,9,9,2,47,68.0,40.0,36.0,36.0,8.0,188.0
38,0,0,0,5,1,6,0.0,0.0,0.0,20.0,4.0,24.0
39,3,28,3,14,2,50,12.0,112.0,12.0,56.0,8.0,200.0
40,5,13,9,11,2,40,20.0,52.0,36.0,44.0,8.0,160.0
41,488,11,154,20,15,688,1952.0,44.0,616.0,80.0,60.0,2752.0
42,131,15,77,29,18,270,524.0,60.0,308.0,116.0,72.0,1080.0
43,12,4,43,8,2,69,48.0,16.0,172.0,32.0,8.0,276.0
44,23,5,106,15,3,152,92.0,20.0,424.0,60.0,12.0,608.0
45,39,8,57,22,3,129,156.0,32.0,228.0,88.0,12.0,516.0
46,84,19,186,26,7,322,336.0,76.0,744.0,104.0,28.0,1288.0
47,89,7,104,34,10,244,356.0,28.0,416.0,136.0,40.0,976.0
48,61,5,34,15,3,118,244.0,20.0,136.0,60.0,12.0,472.0
49,13,5,49,10,3,80,52.0,20.0,196.0,40.0,12.0,320.0
50,24,8,21,5,4,62,96.0,32.0,84.0,20.0,16.0,248.0
51,5,8,5,2,0,20,20.0,32.0,20.0,8.0,0.0,80.0
52,15,21,20,16,5,77,60.0,84.0,80.0,64.0,20.0,308.0
53,12,10,6,9,3,40,48.0,40.0,24.0,36.0,12.0,160.0
54,3,4,7,11,1,26,12.0,16.0,28.0,44.0,4.0,104.0
55,0,0,2,2,0,4,0.0,0.0,8.0,8.0,0.0,16.0
56,0,2,2,1,0,5,0.0,8.0,8.0,4.0,0.0,20.0
57,0,0,0,1,0,1,0.0,0.0,0.0,4.0,0.0,4.0
58,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,1,0,1,0.0,0.0,0.0,4.0,0.0,4.0
60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,1,0,1,0,2,0.0,4.0,0.0,4.0,0.0,8.0
62,1,0,2,1,0,4,4.0,0.0,8.0,4.0,0.0,16.0
63,3,0,7,5,1,16,12.0,0.0,28.0,20.0,4.0,64.0
64,5,9,1,6,6,27,20.0,36.0,4.0,24.0,24.0,108.0
65,0,1,5,8,3,17,0.0,4.0,20.0,32.0,12.0,68.0
66,0,1,3,12,2,18,0.0,4.0,12.0,48.0,8.0,72.0
67,0,1,0,6,3,10,0.0,4.0,0.0,24.0,12.0,40.0
68,1,1,4,2,2,10,4.0,4.0,16.0,8.0,8.0,40.0
69,8,2,12,13,3,38,32.0,8.0,48.0,52.0,12.0,152.0
70,25,32,22,13,9,101,100.0,128.0,88.0,52.0,36.0,404.0
71,120,25,72,25,13,255,480.0,100.0,288.0,100.0,52.0,1020.0
72,63,19,39,28,12,161,252.0,76.0,156.0,112.0,48.0,644.0
73,19,1,20,16,0,56,76.0,4.0,80.0,64.0,0.0,224.0
74,106,13,57,33,13,222,424.0,52.0,228.0,132.0,52.0,888.0
75,69,24,74,21,9,197,276.0,96.0,296.0,84.0,36.0,788.0
76,53,53,50,26,6,188,212.0,212.0,200.0,104.0,24.0,752.0
77,8,10,15,12,0,45,32.0,40.0,60.0,48.0,0.0,180.0
78,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,118,6,79,23,6,232,472.0,24.0,316.0,92.0,24.0,928.0
80,341,28,122,26,68,585,1364.0,112.0,488.0,104.0,272.0,2340.0
81,60,5,18,16,2,101,240.0,20.0,72.0,64.0,8.0,404.0
82,35,17,43,9,4,108,140.0,68.0,172.0,36.0,16.0,432.0
83,32,14,53,9,1,109,128.0,56.0,212.0,36.0,4.0,436.0
84,5,15,23,6,3,52,20.0,60.0,92.0,24.0,12.0,208.0
85,39,7,29,4,0,79,156.0,28.0,116.0,16.0,0.0,316.0
86,61,11,32,13,2,119,244.0,44.0,128.0,52.0,8.0,476.0
87,0,22,5,5,0,32,0.0,88.0,20.0,20.0,0.0,128.0
88,0,6,8,8,3,25,0.0,24.0,32.0,32.0,12.0,100.0
89,14,24,17,19,5,79,56.0,96.0,68.0,76.0,20.0,316.0
90,17,4,10,7,2,40,68.0,16.0,40.0,28.0,8.0,160.0
91,0,3,0,1,1,5,0.0,12.0,0.0,4.0,4.0,20.0
92,0,3,1,4,0,8,0.0,12.0,4.0,16.0,0.0,32.0
93,2,1,0,0,0,3,8.0,4.0,0.0,0.0,0.0,12.0
94,0,0,0,2,0,2,0.0,0.0,0.0,8.0,0.0,8.0
95,0,0,1,0,0,1,0.0,0.0,4.0,0.0,0.0,4.0
96,2,2,1,9,0,14,8.0,8.0,4.0,36.0,0.0,56.0
97,28,47,20,12,8,115,112.0,188.0,80.0,48.0,32.0,460.0
98,29,9,13,10,3,64,116.0,36.0,52.0,40.0,12.0,256.0
99,2,0,3,7,2,14,8.0,0.0,12.0,28.0,8.0,56.0
100,5,1,9,9,2,26,20.0,4.0,36.0,36.0,8.0,104.0
101,0,2,0,2,5,9,0.0,8.0,0.0,8.0,20.0,36.0
102,6,6,2,5,2,21,24.0,24.0,8.0,20.0,8.0,84.0
103,25,7,11,9,8,60,100.0,28.0,44.0,36.0,32.0,240.0
104,11,15,17,5,2,50,44.0,60.0,68.0,20.0,8.0,200.0
105,56,9,42,26,9,142,224.0,36.0,168.0,104.0,36.0,568.0
