grid_id,休闲_count,办公_count,公共服务_count,交通设施_count,居住_count,total_count
1,3,0,3,2,1,9
2,76,10,34,14,23,157
3,3,3,3,4,2,15
4,1,3,7,2,0,13
5,0,1,0,1,0,2
6,0,0,0,1,1,2
7,261,37,11,14,0,323
8,3,4,3,0,0,10
9,3,1,1,1,0,6
10,3,7,0,1,4,15
11,3,36,5,3,7,54
12,0,14,4,13,1,32
13,0,2,2,2,0,6
14,2,3,0,3,0,8
15,28,10,11,4,2,55
16,4,10,3,6,2,25
17,3,7,28,2,0,40
18,73,11,34,15,3,136
19,14,21,44,14,1,94
20,24,14,26,9,3,76
21,40,5,24,9,2,80
22,216,69,116,36,23,460
23,34,9,28,6,0,77
24,1,7,1,2,0,11
25,0,5,5,1,0,11
26,1,15,6,10,3,35
27,2,19,9,12,1,43
28,0,2,0,2,0,4
29,0,0,0,4,0,4
30,0,0,0,0,0,0
31,5,0,2,0,0,7
32,6,5,1,1,0,13
33,1,1,0,0,0,2
34,0,1,0,2,0,3
35,0,2,0,2,1,5
36,0,6,6,9,1,22
37,17,10,9,9,2,47
38,0,0,0,5,1,6
39,3,28,3,14,2,50
40,5,13,9,11,2,40
41,488,11,154,20,15,688
42,131,15,77,29,18,270
43,12,4,43,8,2,69
44,23,5,106,15,3,152
45,39,8,57,22,3,129
46,84,19,186,26,7,322
47,89,7,104,34,10,244
48,61,5,34,15,3,118
49,13,5,49,10,3,80
50,24,8,21,5,4,62
51,5,8,5,2,0,20
52,15,21,20,16,5,77
53,12,10,6,9,3,40
54,3,4,7,11,1,26
55,0,0,2,2,0,4
56,0,2,2,1,0,5
57,0,0,0,1,0,1
58,0,0,0,0,0,0
59,0,0,0,1,0,1
60,0,0,0,0,0,0
61,0,1,0,1,0,2
62,1,0,2,1,0,4
63,3,0,7,5,1,16
64,5,9,1,6,6,27
65,0,1,5,8,3,17
66,0,1,3,12,2,18
67,0,1,0,6,3,10
68,1,1,4,2,2,10
69,8,2,12,13,3,38
70,25,32,22,13,9,101
71,120,25,72,25,13,255
72,63,19,39,28,12,161
73,19,1,20,16,0,56
74,106,13,57,33,13,222
75,69,24,74,21,9,197
76,53,53,50,26,6,188
