grid_id,碳排放_carbon_emission_kg (kgCO2/KM/d),人口密度 (千人/km²),休闲POI数量 (个),办公POI数量 (个),公共服务POI数量 (个),交通设施POI数量 (个),居住POI数量 (个),道路密度 (KM/KM²),地铁站点数量 (个),公交站点数量 (个),标准化土地混合熵,到市中心距离 (km),到最近公交距离 (km)
1,0.093805682,1.326,3,0,3,2,1,20.85370413,0,0,0.814435691,14.30099906,0.600913711
2,0.575570687,1.326,76,10,34,14,23,30.21367077,0,0,0.841808232,14.50874815,0.772527147
3,0.2136085,1.326,3,3,3,4,2,51.71975294,0,0,0.985924772,14.63715724,0.497720699
4,0.089641014,1.326,1,3,7,2,0,6.252291146,0,0,0.718876842,13.72748613,0.379115166
5,0,0.969,0,1,0,1,0,4.609165099,0,0,0.430676558,13.80892736,0.849763647
6,0.599122776,0.969,0,0,0,1,1,14.30101527,0,0,0.430676558,13.90787813,1.176924839
7,1.474764791,0.969,261,37,11,14,0,31.86442058,0,0,0.417264421,14.02396782,1.155957576
8,0.009782452,0.969,3,4,3,0,0,18.7081937,0,0,0.676571595,14.1567748,0.992498231
9,0.138418526,1.02,3,1,1,1,0,2.972725406,0,0,0.771979655,14.3058335,1.064832174
10,0,1.02,3,7,0,1,4,13.57320593,0,0,0.752161879,14.47064171,1.335171292
11,0,1.02,3,36,5,3,7,31.1983313,0,0,0.668950159,14.65066793,1.687422297
12,0,1.02,0,14,4,13,1,55.88660289,0,0,0.680890416,14.84535854,2.086582581
13,0,1.02,0,2,2,2,0,71.9387777,0,0,0.682606194,15.0541446,2.521955537
14,0,1.02,2,3,0,3,0,56.87498757,0,0,0.672405889,15.27644818,2.224486581
15,1.073686239,1.02,28,10,11,4,2,58.53550895,0,0,0.799459552,13.68212643,2.201244139
16,0.335877036,1.02,4,10,3,6,2,6.784675896,0,0,0.90635815,13.54411987,2.222939656
17,0,1.02,3,7,28,2,0,28.00028268,0,0,0.55842399,13.11970188,0.580781014
18,0.838130553,1.02,73,11,34,15,3,23.56988745,0,1,0.752582023,13.16697295,0.246348564
19,0.363412266,1.02,14,21,44,14,1,14.27925634,0,0,0.811283563,13.23298062,0.532980904
20,0.744315807,1.02,24,14,26,9,3,17.39467101,0,0,0.884047373,13.31744628,0.687320931
21,2.906649563,0.969,40,5,24,9,2,51.39415338,0,0,0.757447327,13.42002141,0.678643241
22,2.183869759,0.969,216,69,116,36,23,38.65906699,1,0,0.830172615,13.54029446,0.885758333
23,2.664348767,0.969,34,9,28,6,0,17.15756999,0,0,0.732283207,13.67779856,1.268297678
24,2.040755852,0.969,1,7,1,2,0,7.891486616,0,0,0.642188211,13.83201984,1.539868307
25,0.85433262,1.377,0,5,5,1,0,16.84017325,0,0,0.580805193,14.00240594,1.737817374
26,1.13733565,1.377,1,15,6,10,3,39.96375003,0,0,0.829822709,14.18837452,2.041769831
27,0,1.377,2,19,9,12,1,43.65394953,0,0,0.791942945,14.38932142,2.393788627
28,0,1.377,0,2,0,2,0,26.81410812,0,0,0.430676558,14.60462838,2.720117551
29,0,1.377,0,0,0,4,0,71.99828892,0,0,0,14.83367013,2.222531527
30,0,1.377,0,0,0,0,0,43.38775061,0,0,0,15.07582067,1.726341011
31,0,1.377,5,0,2,0,0,18.3155677,0,0,0.371725796,15.33045884,1.233231602
32,0,1.377,6,5,1,1,0,20.32765737,0,0,0.695254448,15.59697303,0.749311072
33,0,1.377,1,1,0,0,0,35.39469409,0,1,0.430676558,15.8747651,0.319490189
34,0,1.377,0,1,0,2,0,61.13291804,0,2,0.395488489,16.16325358,0.159676711
35,0,1.377,0,2,0,2,1,4.280919081,0,0,0.655458754,14.16529165,2.668913874
36,0.569397501,1.377,0,6,6,9,1,46.2708536,0,0,0.754831545,13.36509951,1.817592165
37,1.018582957,1.135,17,10,9,9,2,106.5338231,0,0,0.909926805,13.20486593,1.702828892
38,3.161455424,1.135,0,0,0,5,1,20.1310815,0,0,0.279949419,13.06181778,1.730783405
39,2.61925665,1.135,3,28,3,14,2,76.50201032,0,0,0.712977529,12.93652515,1.878407995
40,1.124139018,1.135,5,13,9,11,2,24.43028798,0,0,0.910651522,12.82950827,2.0277885
41,2.037423843,0.727,488,11,154,20,15,66.49086807,2,0,0.51636713,12.74122764,2.071071942
42,2.68961563,0.727,131,15,77,29,18,11.42326319,0,0,0.801179269,12.67207486,1.819760907
43,0.165052938,0.727,12,4,43,8,2,29.52907768,0,0,0.693696681,12.6223643,1.683365834
44,0.568105819,0.727,23,5,106,15,3,58.931494,0,0,0.593641173,12.62119162,0.585149886
45,2.163733751,0.918,39,8,57,22,3,57.21629086,0,0,0.797855084,12.6703227,0.256478884
46,2.144883988,0.918,84,19,186,26,7,55.30135075,0,1,0.696496941,12.73890406,0.187558341
47,4.97793289,0.918,89,7,104,34,10,66.36512673,0,0,0.769692087,12.82662372,0.353464522
48,7.270270376,0.918,61,5,34,15,3,104.4705798,0,1,0.738848551,12.93309226,0.189634433
49,4.90443495,1.02,13,5,49,10,3,22.82612522,0,0,0.715697981,13.05785108,0.599976995
50,2.585217979,1.02,24,8,21,5,4,13.9152392,0,0,0.856301453,13.20038159,1.088110091
51,1.220077535,1.02,5,8,5,2,0,34.63244918,0,0,0.801473591,13.36011502,1.583664973
52,1.386946763,1.02,15,21,20,16,5,40.43151523,0,0,0.948899797,13.5364424,2.081347141
53,1.803781222,1.02,12,10,6,9,3,60.02433029,0,0,0.945812077,13.72872435,2.430257371
54,0.040073426,1.02,3,4,7,11,1,65.93427282,0,0,0.857233743,13.9363005,2.748629788
55,0.093210434,1.02,0,0,2,2,0,35.08040273,0,0,0.430676558,14.15849819,2.808975852
56,0,1.02,0,2,2,1,0,50.03112681,0,0,0.655458754,14.39464033,2.330440352
57,0,1.02,0,0,0,1,0,69.11398534,0,0,0,14.64405236,1.863212046
58,0,1.02,0,0,0,0,0,16.55200057,0,0,0,14.90606819,1.413864035
59,0,1.02,0,0,0,1,0,9.004511616,0,0,0,15.18003519,0.931286395
60,0,1.02,0,0,0,0,0,6.363851315,0,0,0,15.46531822,0.485362944
61,0,1.02,0,1,0,1,0,26.36731019,0,0,0.430676558,15.76130283,0.322273216
62,0,1.02,1,0,2,1,0,35.62133053,0,0,0.646014837,16.06739762,0.687126527
63,0.166862378,1.02,3,0,7,5,1,31.73162567,0,0,0.753252965,13.493183,1.981809234
64,1.822925924,1.02,5,9,1,6,6,45.29393848,0,0,0.912770267,13.27812437,1.792654295
65,3.729510709,1.02,0,1,5,8,3,33.18320441,0,0,0.7377829,13.07865384,1.661868466
