grid_id,segment_count,total_length_m
1,7,439.53513299512633
2,12,3900.6227551695615
3,14,3513.2284700227106
4,2,373.5404593527258
5,3,915.9129045069692
6,10,2623.027068196564
7,43,10609.297936906394
8,1,217.88451506176276
9,4,1354.3036035114087
10,1,5.06575828607403
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,65,18694.508616135136
16,18,3952.2527628133303
17,3,613.2015077002336
18,31,4979.244293196496
19,5,907.3005401129935
20,8,1738.7743144425258
21,51,12519.586263198733
22,48,12638.170623526155
23,18,6419.0654461483155
24,21,6771.384247850747
25,16,3846.7163676718274
26,3,1412.424321127051
27,2,334.2482932257966
28,1,197.01024335906064
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,12,3477.9634530443213
37,79,24847.049888056048
38,93,23603.260608251967
39,41,13390.104505887579
40,25,9474.857186084588
41,63,16697.841329152525
42,73,19500.402886237178
43,24,5415.525049800727
44,17,5044.026234350079
45,65,18798.629122973027
46,27,8151.458259011333
47,53,15236.881952140922
48,142,36797.42016356634
49,64,19730.48837717865
50,29,9563.789182295699
51,24,8987.645305130618
52,34,8025.82742833955
53,41,6873.614929868716
54,12,1735.7101734276312
55,1,284.8228512396962
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,9,1738.9059597896166
64,37,15379.554764445751
65,80,22292.397218115962
66,58,14037.137967637596
67,78,26468.27232095945
68,120,42613.37218111885
69,136,43649.38279170609
70,199,68214.78940794473
71,360,80634.00326568348
72,188,56383.31998078606
73,85,33316.06897879621
74,61,19563.06446198299
75,42,13666.490246273765
76,36,13989.13790233343
77,57,18217.239202894034
78,110,42241.893869050415
79,136,32526.502691357517
80,84,22007.13018986887
81,111,31082.04211283897
82,62,21454.619742694664
83,51,18360.327432903454
84,38,16087.032097904581
85,51,13639.546920667486
86,40,14674.726718029357
87,14,6480.416809022444
88,7,2291.7078012906795
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,107,28301.41150372712
98,168,36475.44563694333
99,93,30476.165904052075
100,134,41413.34933050746
101,126,52307.46272486011
102,213,72335.457115394
103,153,62581.54081663194
104,214,67166.10053477992
105,183,56933.46197905043
106,158,49297.36076245216
107,75,29345.09191146696
108,118,33141.710163866555
109,67,18149.268607235972
110,59,18861.201441106852
111,50,19311.234368278598
112,93,24592.823882623266
113,238,77260.70169765783
114,153,52840.56893711735
115,90,28457.4084772237
116,60,16214.920184964032
117,28,10171.174310832006
118,24,6498.721215904082
119,33,11399.463977987276
120,26,9089.874038055039
121,10,2199.9657001161936
122,8,3839.069030082036
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,74,14176.183773691908
131,191,46121.37687185875
132,365,85680.3974796512
133,356,134373.70954792117
134,511,146341.8735472241
135,394,150149.1205462005
136,261,93499.79429520175
137,174,64482.328680496066
138,210,68270.94837152246
139,208,79489.62771876075
140,134,49121.997672530866
141,175,57477.38817874416
142,104,32253.21892008988
143,59,19849.40811315273
144,55,19026.276594983705
145,104,31720.88595694862
146,93,30995.51311374526
147,133,40036.51854135419
148,170,57079.8435058491
149,324,118386.90219658043
150,553,117338.73623294337
151,126,32321.41835618806
152,19,4368.391143666166
153,28,9306.065398010955
154,17,4530.009843612369
155,10,4485.715910693754
156,26,6271.164656640535
157,21,5637.102841375817
158,7,1523.5172998405133
159,10,2627.365119185742
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,224,54324.821789399735
168,232,81647.34023103098
169,389,121352.93451692689
170,452,111063.08192063763
171,314,118184.82196168472
172,299,112103.25128879426
173,340,123204.10417836453
174,271,97180.39024210753
175,247,85113.18324842169
176,286,87923.85323588361
177,173,57172.106671989415
178,91,26913.32298553667
179,102,34550.49160702033
